,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
138,Örebro SK,Denis Abdulahi,21,Defensive Midfield,Finland,0,Víkingur,Iceland,"End of loanAug 1, 2011",in,2011
139,Örebro SK,Michael Almebäck,23,Centre-Back,Sweden,200000,Club Brugge,Belgium,550000,out,2011
140,Örebro SK,Alejandro Bedoya,24,Central Midfield,United States,600000,Rangers,Scotland,345000,out,2011
141,Örebro SK,Erik Nilsson,22,Defensive Midfield,Sweden,75000,Ljungskile,Sweden,loan transfer,out,2011
142,IF Elfsborg,Zlatan Krizanovic,20,Centre-Forward,Sweden,75000,AZ Alkmaar U19,Netherlands,free transfer,in,2011
143,IF Elfsborg,Simon Hedlund,19,Centre-Forward,Sweden,1500000,IF Elfsborg U19,Sweden,0,in,2011
144,IF Elfsborg,Oscar Hiljemark,19,Central Midfield,Sweden,0,IF Elfsborg U19,Sweden,0,in,2011
145,IF Elfsborg,Amadaiya Rennie,21,Right Winger,Liberia,100000,GAIS,Sweden,"End of loanJun 30, 2011",in,2011
146,IF Elfsborg,Richard Yarsuvat,19,Centre-Forward,Sweden,250000,Värnamo,Sweden,"End of loanMay 1, 2012",in,2011
147,IF Elfsborg,Anders Wikström,29,Centre-Back,Sweden,0,Mjällby AIF,Sweden,"End of loanAug 1, 2011",in,2011
148,IF Elfsborg,Ante Covic,36,Goalkeeper,Australia,0,Melbourne,Australia,free transfer,out,2011
149,IF Elfsborg,Anton Lans,20,Centre-Back,Sweden,150000,Falkenberg,Sweden,loan transfer,out,2011
150,IF Elfsborg,Amadaiya Rennie,21,Right Winger,Liberia,100000,Degerfors,Sweden,0,out,2011
151,IF Elfsborg,Joel Anell,25,Centre-Forward,Sweden,0,Halmstads BK,Sweden,loan transfer,out,2011
152,IF Elfsborg,James Keene,25,Centre-Forward,England,100000,Fredrikstad,Norway,loan transfer,out,2011
153,IF Elfsborg,Zlatan Krizanovic,20,Centre-Forward,Sweden,75000,Falkenberg,Sweden,loan transfer,out,2011
154,IF Elfsborg,Anton Wede,21,Left Midfield,Sweden,150000,Falkenberg,Sweden,loan transfer,out,2011
155,BK Häcken,Andrés Vásquez,23,Left Midfield,Sweden,0,FC Zürich U21,Switzerland,free transfer,in,2011
156,BK Häcken,Oscar Lewicki,19,Defensive Midfield,Sweden,1700000,FC Bayern II,Germany,free transfer,in,2011
