,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
52,Tromsø IL,Ludvig Rinde,21,Left-Back,Norway,0,Tromsø IL Youth,Norway,0,in,2010
53,Tromsø IL,Jade North,28,Centre-Back,Australia,0,Wellington P.,Australia,free transfer,out,2010
54,Tromsø IL,Vegard Braaten,23,attack,Norway,0,KSC Lokeren,Belgium,0,out,2010
55,Tromsø IL,Sead Ramovic,31,Goalkeeper,Germany,0,Sivasspor,Turkey,0,out,2010
56,Tromsø IL,Dominique Taboga,27,Centre-Back,Austria,0,SV Kapfenberg,Austria,loan transfer,out,2010
57,Sogndal IL,Vegar Gjermundstad,20,Centre-Back,Norway,100000,FK Lyn,Norway,free transfer,in,2010
58,FK Haugesund,Rok Elsner,24,Defensive Midfield,Slovenia,0,Al-Shabab,United Arab Emirates,free transfer,in,2010
59,FK Haugesund,Ugonna Anyora,19,Central Midfield,Nigeria,75000,Enugu Ran. Jgd.,Nigeria,free transfer,in,2010
60,FK Haugesund,Niklas Sandberg,31,Centre-Back,Sweden,0,Armed Forces FC,Singapore,"End of loanJun 30, 2010",in,2010
61,FK Haugesund,Niklas Sandberg,31,Centre-Back,Sweden,0,Brage,Sweden,0,out,2010
62,Strømsgodset IF,Jason Morrison,26,Defensive Midfield,Jamaica,0,Ferencváros,Hungary,free transfer,in,2010
63,Strømsgodset IF,Akeem Latifu,20,Centre-Back,Nigeria,150000,Akwa United,Nigeria,0,in,2010
64,Strømsgodset IF,Gardar Jóhannsson,30,Centre-Forward,Iceland,0,Stjarnan,Iceland,loan transfer,in,2010
65,Strømsgodset IF,Mohammed Abu,18,Defensive Midfield,Ghana,400000,Man City,England,loan transfer,in,2010
66,Strømsgodset IF,Gustav Wikheim,17,Left Winger,Norway,1500000,Strømsgodset IF ,Norway,0,in,2010
67,Strømsgodset IF,Mads Gundersen,18,Central Midfield,Norway,0,Strømsgodset IF ,Norway,0,in,2010
68,Strømsgodset IF,Marcus Pedersen,20,Centre-Forward,Norway,225000,Vitesse,Netherlands,1500000,out,2010
69,Strømsgodset IF,Komlan Amewou,26,Defensive Midfield,Togo,0,Nîmes Olympique,France,0,out,2010
70,Fredrikstad FK,Cristian Gamboa,20,Right-Back,Costa Rica,700000,Águilas,Costa Rica,free transfer,in,2010
71,Fredrikstad FK,Roger Risholt,31,Central Midfield,Norway,0,Kongsvinger,Norway,0,in,2010
72,Fredrikstad FK,Gilmak,23,Defensive Midfield,Brazil,0,Fortaleza,Brazil,loan transfer,in,2010
73,Fredrikstad FK,Gunnar Heidar Thorvaldsson,28,Centre-Forward,Iceland,0,Esbjerg fB,Denmark,loan transfer,in,2010
74,Fredrikstad FK,Lalawélé Atakora,19,Left Winger,Togo,300000,Värnamo,Sweden,"End of loanAug 1, 2010",in,2010
75,Fredrikstad FK,Wallace,23,Left-Back,Brazil,325000,KAA Gent,Belgium,450000,out,2010
76,Fredrikstad FK,Mattias Andersson,28,Left Winger,Sweden,0,Odd Grenland,Norway,0,out,2010
77,Aalesunds FK,Lars Fuhre,20,Left Winger,Norway,50000,Nybergsund,Norway,0,in,2010
78,Aalesunds FK,Michael Barrantes,26,Defensive Midfield,Costa Rica,75000,Saprissa,Costa Rica,0,in,2010
79,Aalesunds FK,Khari Stephenson,29,Attacking Midfield,Jamaica,0,Quakes,United States,free transfer,out,2010
80,Sarpsborg 08 FF,Mehmed Divanovic,25,midfield,Montenegro,100000,OFK Petrovac,Montenegro,0,in,2010
81,Vålerenga Fotball,Veigar Páll Gunnarsson,31,Second Striker,Iceland,0,Stabæk Fotball,Norway,130000,in,2011
82,Vålerenga Fotball,Benjamin Hagen,23,Left-Back,Norway,0,Follo FK,Norway,0,in,2011
83,Vålerenga Fotball,Isaac Boakye,29,Centre-Forward,Ghana,0,Viva Kerala FC,India,free transfer,out,2011
84,Vålerenga Fotball,Luton Shelton,25,Left Winger,Jamaica,0,Karabükspor,Turkey,0,out,2011
85,Vålerenga Fotball,Amin Nouri,21,Left-Back,Norway,200000,IK Start,Norway,0,out,2011
